Site;Progeny;Treatment;TreeNb;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;PetioleLength;PetioleFW;PetSampleFW;PetSampleDW;PetioleWaterContent;PetioleDW;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafWaterContent;LeafletDW;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
BMLE;P63;Irrigation;I1;3;dry;;16/03/2009;18/02/2009;;27/09/2008;10/04/2008;F;;;;;;;;;;;;;;;;;;;;;23100;13135;1300;166.1;23.1;0.860927152;180.794702;4840;112.7;40;0.645075421;40;298;340;36.2;4.4;0.878453039;41.32596685;1375;16620;236.5;159.3;0.326427061;11194.78224;192.4;125.9;44.1;33.4
BMLE;P63;Irrigation;I1;2;;;17/10/2008;;;17/10/2008;25/04/2008;F;;;;;;;630;6350;185.3;49.7;0.731786292;1703.157043;184;180;364;3450;124.5;48.3;0.612048193;1338.433735;23210;12623;1320;132.6;18.1;0.863499246;180.1809955;4630;97;29.8;0.692783505;29.8;390;600;28.9;3.3;0.885813149;68.51211073;1312;16660;222.1;146;0.342638451;10951.6434;175;110.6;47.1;35.4
BMLE;P63;Irrigation;I1;1;;;08/11/2008;;;08/11/2008;22/05/2008;F;;;;;;;665;7040;241.1;65.2;0.729572791;1903.807549;184;188;372;4100;150.1;59;0.606928714;1611.592272;23890;13738;1100;199.1;29;0.85434455;160.2209945;4700;133.3;44.5;0.666166542;44.5;165;140;40.8;5.4;0.867647059;18.52941176;1640;17950;225.6;150.7;0.332003546;11990.53635;181.8;118.5;43.8;32.2
BMLE;P63;Irrigation;I1;-1;dry;12/09/2007;24/07/2009;09/07/2009;;;04/06/2008;M;169;7020;112.4;26.9;0.760676157;1680.053381;669;6860;139.6;36.9;0.735673352;1813.280802;194;199;393;3720;111.3;41.4;0.628032345;1383.719677;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-2;dry;26/09/2007;;24/06/2009;;;18/06/2008;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-3;;24/10/2007;;;;;03/07/2008;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-4;;22/11/2007;;;;;31/07/2008;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-5;;05/12/2007;;;19/08/2009;;27/08/2008;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-6;;19/12/2007;;;;;27/08/2008;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-7;;02/01/2008;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-8;dry;16/01/2008;;09/07/2009;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-9;;30/01/2008;24/07/2009;;;;;A;155;7140;174.7;40.1;0.770463652;1638.889525;633;4200;88.1;31.7;0.640181612;1511.23723;183;187;370;4200;88.1;31.7;0.640181612;1511.23723;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-10;;13/02/2008;;14/11/2009;19/08/2009;;13/11/2008;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-11;dry;13/03/2008;;12/09/2009;02/09/2009;;26/11/2008;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-12;dry;27/03/2008;;24/10/2009;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-13;dry;10/04/2008;;26/06/2010;;;04/02/2009;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-14;;25/04/2008;17/10/2009;;;24/07/2009;04/02/2009;F;;;;;;;;;;;;;;;;;;;;;17700;9402;920;139.4;20.7;0.851506456;136.6140603;4440;96.5;33.9;0.648704663;33.9;394;920;39.8;5.2;0.869346734;120.201005;1054;11420;275.2;182.8;0.335755814;7585.668605;233.4;151.3;41.8;31.5
BMLE;P63;Irrigation;I1;-15;harvesting;08/05/2008;24/10/2009;;;;18/02/2009;M;;;;;;;540;6260;96.4;22.1;0.770746888;1435.124481;188;186;374;4200;57;20.7;0.636842105;1525.263158;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-16;harvesting;22/05/2008;30/09/2009;;30/09/2009;;;A;166;5720;104.3;27.9;0.732502397;1530.08629;620;5620;100.9;27.8;0.724479683;1548.424182;187;193;380;3900;55.8;21.1;0.621863799;1474.731183;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-17;dry;04/06/2008;;24/10/2009;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-18;;18/06/2008;14/11/2009;;;;18/03/2009;M;171;6200;184.2;42;0.771986971;1413.680782;651;7200;194.5;45;0.768637532;1665.809769;201;190;391;4640;118.3;42.1;0.644125106;1651.25951;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-19;;16/07/2008;28/11/2009;;;;01/04/2009;M;174;7260;108.2;34.9;0.677449168;2341.719039;645;6660;101.5;22.3;0.780295567;1463.231527;178;184;362;4160;90.3;34.3;0.620155039;1580.155039;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-20;dry;31/07/2008;;28/10/2009;;;01/04/2009;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-21;dry;27/08/2008;;07/01/2009;;17/10/2009;29/04/2009;F;;;;;;;;;;;;;;;;;;;;;22860;12741.61;1160;119.6;17.8;0.851170569;172.6421405;4720;101.3;38.1;0.623889437;38.1;692;900;47.5;7;0.852631579;132.6315789;1267;16080;218.4;144.8;0.336996337;10661.0989;175.3;112.7;43.1;32.1
BMLE;P63;Irrigation;I1;-22;dry;11/09/2008;;26/06/2010;;31/10/2009;13/05/2009;F;;;;;;;;;;;;;;;;;;;;;23260;11969.18;1000;141;20;0.858156028;141.8439716;4340;55;17.8;0.676363636;17.8;304;420;40;5.2;0.87;54.6;1590;17500;146;86.5;0.407534247;10368.15068;105;57.4;41;29.1
BMLE;P63;Irrigation;I1;-23;harvesting;24/09/2008;;23/06/2010;;14/11/2009;27/05/2009;F;;;;;;;;;;;;;;;;;;;;;20290;10334.01;880;102;16.6;0.837254902;143.2156863;4600;80;23.1;0.71125;23.1;940;1110;27;3.8;0.859259259;156.2222222;1065;13700;231;146.8;0.364502165;8706.320346;183;115.4;48;31.4
BMLE;P63;Irrigation;I1;-24;;16/10/2008;19/02/2010;;;28/11/2009;10/06/2009;F;162;6960;128.8;32.5;0.747670807;1756.21118;548;6440;125.3;30.6;0.755786113;1572.73743;146;151;297;3800;101.2;41.4;0.590909091;1554.545455;19570;7937.98;1150;87;12.5;0.856321839;165.2298851;5060;62;20.3;0.672580645;20.3;475;460;45;6;0.866666667;61.33333333;1825;12900;186;87.3;0.530645161;6054.677419;146;58.1;40;29.2
