Site;Progeny;Treatment;TreeNb;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafletWaterContent;LeafletDW;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
PHLE;P1;Irrigation;T1;-158;;19/04/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T3;-157;;19/04/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T3;-156;;19/04/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T4;-145;;19/04/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T2;-179;;02/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T1;-159;;02/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T3;-158;;02/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T4;-146;;02/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T5;-7;Broken;23/09/2006;;;;;30/04/2007;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T6;-4;Broken;06/09/2006;;;;;20/08/2007;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T4;-4;Broken;06/09/2006;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T2;-5;Broken;23/09/2006;01/05/2008;;;15/03/2008;20/08/2007;F;;;;;;;;;;;;;;;;;80;49;15;0.693877551;24.48979592;349;50;21;0.58;146.58;172;259;98;18;0.816326531;47.57142857;60;733;226;164;0.274336283;531.9115044;202;142;24;22
PHLE;P1;Control;T3;-6;Broken;23/09/2006;01/04/2008;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T1;-5;broken;23/09/2006;21/07/2008;;30/08/2007;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T2;-181;;18/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T2;-180;;18/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T5;-6;Broken;23/09/2006;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T5;-5;Harvest;23/09/2006;14/05/2008;;;;;A;321;880;213;42;0.802816901;173.5211268;85;84;169;344;209;94;0.550239234;154.7177033;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T4;-3;Broken;06/09/2006;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T2;-4;Broken;06/09/2006;01/05/2008;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T3;-5;Broken;06/09/2006;01/04/2008;;;01/03/2008;20/08/2007;F;;;;;;;;;;;;;;;;;324;50;10;0.8;64.8;678;47;19;0.595744681;274.0851064;215;262;62;9;0.85483871;38.03225806;360;3127;224;134;0.401785714;1870.616071;191;110;33;24
PHLE;P1;Irrigation;T1;-161;;18/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T1;-160;;18/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T3;-159;;18/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T1;-4;broken;23/09/2006;05/06/2008;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T4;-147;;18/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T2;-182;;30/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T5;-4;Broken;06/09/2006;;;;;30/04/2007;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T4;-2;Broken;23/08/2006;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
