Progeny;TreeNb;Treatment;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;PetioleLength;PetioleFW;PetSampleFW;PetSampleDW;PetioleWaterContent;PetioleDW;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafletWaterContent;LeafletDW;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
63;C1;Control;4;;;01/12/07;26/07/07;26/07/07;19/10/07;08/05/07;F;156,00;6900,00;202,90;45,70;0,77;1554,10;647,00;6400,00;120,20;30,40;0,75;1618,60;188,00;180,00;368,00;3650,00;161,60;63,70;0,61;1438,80;18500,00;10659,00;1250,00;187,20;29,40;0,84;196,30;3500,00;155,80;51,80;0,67;1163,70;475,00;350,00;34,40;4,20;0,88;42,70;2080,00;13400,00;193,70;133,80;0,30;9256,20;171,20;117,30;22,50;16,50
63;C1;Control;3;;;;26/07/07;16/05/07;19/10/07;08/05/07;F;;;;;;;;;;;;;;;;;;;;;20100,00;10258,00;1050,00;137,30;22,00;0,84;168,20;3750,00;157,00;45,50;0,71;1086,80;442,00;700,00;39,10;5,10;0,87;91,30;1856,00;14600,00;175,30;107,00;0,40;8911,60;143,90;83,20;31,40;23,80
63;C1;Control;2;;;04/04/08;;13/06/07;;13/06/07;M;145,00;3850,00;113,80;34,50;0,70;1167,20;646,00;2500,00;108,70;37,90;0,65;871,70;180,00;178,00;358,00;1900,00;74,70;51,40;0,31;1307,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;1;;;22/08/08;;;16/11/07;08/08/07;F;;;;;;;647,00;6050,00;148,10;36,70;0,75;1499,20;194,00;198,00;392,00;3550,00;196,40;74,00;0,62;1337,60;18335,00;11082,00;775,00;246,10;37,80;0,85;119,00;2700,00;133,80;42,30;0,68;853,60;232,00;260,00;43,50;7,00;0,84;41,80;2060,00;14600,00;254,80;175,70;0,30;10067,60;200,60;134,70;54,20;41,00
63;C1;Control;-1;;16/08/06;05/07/08;;05/07/08;23/11/07;26/07/07;F;;;;;;;629,00;5750,00;214,50;58,80;0,73;1576,20;188,00;190,00;378,00;3200,00;117,10;47,00;0,60;1284,40;22750,00;13226,00;1050,00;192,50;28,50;0,85;155,50;3800,00;212,80;68,60;0,68;1225,00;210,00;350,00;45,90;6,30;0,86;48,00;2449,00;17550,00;203,50;136,80;0,30;11797,70;173,30;114,30;30,20;22,50
63;C1;Control;-2;;24/08/06;06/09/08;;;;;A;;;;;;;650,00;5900,00;148,60;33,60;0,77;1334,10;196,00;202,00;398,00;3320,00;158,80;61,00;0,62;1275,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-3;;24/09/06;04/04/08;;02/04/08;14/12/07;26/07/07;F;157,00;6000,00;142,00;34,90;0,75;1474,60;650,00;6600,00;167,70;41,50;0,75;1633,30;180,00;182,00;362,00;3500,00;126,40;49,70;0,61;1376,20;10000,00;5775,00;550,00;152,90;21,90;0,86;78,80;1850,00;200,80;65,00;0,68;598,90;240,00;250,00;51,60;8,30;0,84;40,20;874,00;7350,00;254,20;174,90;0,30;5057,10;228,90;156,10;25,30;18,80
63;C1;Control;-4;;08/10/06;04/04/08;;26/07/07;;11/07/07;M;86,00;1050,00;81,80;42,90;0,48;550,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-5;;20/10/06;13/11/08;;;;17/10/07;M;;;;;;;671,00;6240,00;218,70;56,50;0,74;1612,10;190,00;194,00;384,00;3600,00;102,70;37,80;0,63;1325,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-6;;07/11/06;29/02/08;;;;08/08/07;M;;;;;;;668,00;5300,00;146,20;44,80;0,69;1624,10;196,00;192,00;388,00;4350,00;183,60;71,20;0,61;1686,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-7;;10/01/07;16/05/08;;;;22/08/07;M;;;;;;;659,00;5600,00;239,70;88,50;0,63;2067,60;188,00;192,00;380,00;3950,00;127,40;51,60;0,59;1599,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-8;;25/01/07;22/08/08;;;;05/09/07;M;;;;;;;641,00;5400,00;175,50;45,80;0,74;1409,20;188,00;191,00;379,00;3750,00;144,30;53,00;0,63;1377,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-9;harvest;15/02/07;23/01/09;;;;;A;;;;;;;640,00;5200,00;90,20;23,00;0,75;1325,90;198,00;196,00;394,00;3180,00;113,00;41,50;0,63;1167,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-10;;08/03/07;06/09/08;;23/01/08;;20/09/07;M;;;;;;;610,00;6000,00;163,10;43,10;0,74;1585,50;194,00;192,00;386,00;3000,00;170,20;64,50;0,62;1136,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-11;;23/03/07;06/09/08;;;04/03/08;19/09/07;F;;;;;;;590,00;5800,00;273,90;66,80;0,76;1414,50;190,00;188,00;378,00;3000,00;186,60;65,50;0,65;1053,10;16600,00;9271,00;1200,00;167,30;24,20;0,86;173,60;4200,00;143,10;48,90;0,66;1435,20;560,00;450,00;33,30;3,30;0,90;44,60;1428,00;10750,00;186,00;131,80;0,30;7617,50;160,90;113,50;25,10;18,30
63;C1;Control;-12;;09/04/07;26/09/08;;;;21/10/07;M;;;;;;;620,00;5500,00;200,40;50,90;0,75;1397,00;195,00;197,00;392,00;3300,00;121,90;46,80;0,62;1266,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-13;;09/04/07;13/11/08;;;22/08/08;05/03/08;F;;;;;;;610,00;5700,00;168,00;43,60;0,74;1479,30;192,00;194,00;386,00;3020,00;87,00;33,80;0,61;1173,30;17400,00;9330,00;1050,00;210,00;30,60;0,85;153,00;4900,00;95,40;29,20;0,69;1499,80;177,00;350,00;45,00;5,50;0,88;42,80;1595,00;11100,00;214,90;147,80;0,30;7634,20;188,30;128,90;26,60;18,90
63;C1;Control;-14;;23/04/07;;23/04/09;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-15;;08/05/07;;23/04/09;;06/09/08;02/04/08;F;;;;;;;;;;;;;;;;;;;;;16860,00;8936,00;1300,00;206,90;29,30;0,86;184,10;4500,00;93,90;29,80;0,68;1428,10;820,00;540,00;41,90;5,10;0,88;65,70;1405,00;10520,00;172,20;118,80;0,30;7257,70;144,10;99,00;28,10;19,80
63;C1;Control;-16;;30/05/07;06/09/08;;;06/09/08;19/03/08;F;;;;;;;598,00;5200,00;246,30;59,50;0,76;1256,20;186,00;184,00;370,00;3800,00;211,60;75,00;0,65;1346,90;22250,00;12087,00;1200,00;133,50;18,40;0,86;165,40;5600,00;135,20;40,80;0,70;1689,90;236,00;100,00;42,50;5,10;0,88;12,00;2324,00;15350,00;153,80;102,40;0,30;10220,00;129,90;85,60;23,90;16,80
63;C1;Control;-17;;13/06/07;;23/04/09;23/01/08;26/09/08;17/04/08;F;;;;;;;;;;;;;;;;;;;;;22900,00;14151,00;1100,00;154,40;25,80;0,83;183,80;3600,00;102,10;32,50;0,68;1145,90;472,00;600,00;52,60;6,60;0,87;75,30;2156,00;17600,00;175,50;127,10;0,30;12746,20;148,20;107,50;27,30;19,60
63;C1;Control;-18;;28/06/07;;23/04/09;;;17/04/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-19;;11/07/07;;18/06/09;;;17/04/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-20;;26/07/07;;21/05/09;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-21;;22/08/07;;21/05/09;;;15/05/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-22;;05/09/07;28/04/09;;;;;A;165,00;6540,00;165,90;39,50;0,76;1557,10;695,00;7340,00;146,30;39,50;0,73;1981,70;206,00;208,00;414,00;4000,00;94,30;36,70;0,61;1556,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-23;;21/10/07;;03/07/09;;;11/06/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-24;;17/10/07;;21/05/09;;;25/06/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-25;;31/10/07;;04/06/09;30/07/09;;09/07/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
