Urut;Progeny;Treatment;TreeNb;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;PetioleLength;PetioleFW;PetSampleFW;PetSampleDW;PetioleWaterContent;PetioleDW;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafWaterContent;LeafletDW;HarvestingBunchDate;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
48;P63;Irrigation;I1;-2;dry;26/09/07;;24/06/09;;;18/06/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;P63;Irrigation;I1;-3;;24/10/07;;;;;03/07/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;P63;Irrigation;I1;-4;;22/11/07;;;;;31/07/08;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;P63;Irrigation;I1;-5;;05/12/07;;;19/08/09;;27/08/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;P63;Irrigation;I1;-6;;19/12/07;;;;;27/08/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;P63;Irrigation;I1;-7;;02/01/08;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;P63;Irrigation;I1;-8;dry;16/01/08;;09/07/09;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;P63;Irrigation;I1;-9;;30/01/08;24/07/09;;;;;A;155,00;7140,00;174,70;40,10;0,77;1638,90;633,00;4200,00;88,10;31,70;0,64;1511,20;183,00;187,00;370,00;4200,00;88,10;31,70;0,64;1511,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;P63;Irrigation;I1;-10;;13/02/08;;14/11/09;19/08/09;;13/11/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;P63;Irrigation;I1;-11;dry;13/03/08;;12/09/09;02/09/09;;26/11/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;P63;Irrigation;I1;-12;dry;27/03/08;;24/10/09;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;P63;Irrigation;I1;-13;dry;10/04/08;;26/06/10;;;04/02/09;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;P63;Irrigation;I1;-14;;25/04/08;17/10/09;;;24/07/09;04/02/09;F;;;;;;;;;;;;;;;;;;;;;38556,00;17700,00;9402,00;920,00;139,40;20,70;0,85;137,00;4440,00;96,50;33,90;0,65;1559,80;394,00;920,00;39,80;5,20;0,87;120,20;1054,00;11420,00;275,20;182,80;0,34;7585,70;233,40;151,30;41,80;31,50
61;P63;Irrigation;I1;-15;harvesting;08/05/08;24/10/09;;;;18/02/09;M;;;;;;;540,00;6260,00;96,40;22,10;0,77;1435,10;188,00;186,00;374,00;4200,00;57,00;20,70;0,64;1525,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;P63;Irrigation;I1;-16;harvesting;22/05/08;30/09/09;;30/09/09;;;A;166,00;5720,00;104,30;27,90;0,73;1530,10;620,00;5620,00;100,90;27,80;0,72;1548,40;187,00;193,00;380,00;3900,00;55,80;21,10;0,62;1474,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;P63;Irrigation;I1;-17;dry;04/06/08;;24/10/09;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;P63;Irrigation;I1;-18;;18/06/08;14/11/09;;;;18/03/09;M;171,00;6200,00;184,20;42,00;0,77;1413,70;651,00;7200,00;194,50;45,00;0,77;1665,80;201,00;190,00;391,00;4640,00;118,30;42,10;0,64;1651,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;P63;Irrigation;I1;-19;;16/07/08;28/11/09;;;;01/04/09;M;174,00;7260,00;108,20;34,90;0,68;2341,70;645,00;6660,00;101,50;22,30;0,78;1463,20;178,00;184,00;362,00;4160,00;90,30;34,30;0,62;1580,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;P63;Irrigation;I1;-20;dry;31/07/08;;28/10/09;;;01/04/09;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;P63;Irrigation;I1;-21;dry;27/08/08;;07/01/09;;17/10/09;29/04/09;F;;;;;;;;;;;;;;;;;;;;;38641,00;22860,00;12741,61;1160,00;119,60;17,80;0,85;173,00;4720,00;101,30;38,10;0,62;1775,20;692,00;900,00;47,50;7,00;0,85;132,60;1267,00;16080,00;218,40;144,80;0,34;10661,10;175,30;112,70;43,10;32,10
68;P63;Irrigation;I1;-22;dry;11/09/08;;26/06/10;;31/10/09;13/05/09;F;;;;;;;;;;;;;;;;;;;;;38655,00;23260,00;11969,18;1000,00;141,00;20,00;0,86;142,00;4340,00;55,00;17,80;0,68;1404,60;304,00;420,00;40,00;5,20;0,87;54,60;1590,00;17500,00;146,00;86,50;0,41;10368,20;105,00;57,40;41,00;29,10
69;P63;Irrigation;I1;-23;harvesting;24/09/08;;23/06/10;;14/11/09;27/05/09;F;;;;;;;;;;;;;;;;;;;;;38669,00;20290,00;10334,01;880,00;102,00;16,60;0,84;143,00;4600,00;80,00;23,10;0,71;1328,30;940,00;1110,00;27,00;3,80;0,86;156,20;1065,00;13700,00;231,00;146,80;0,37;8706,30;183,00;115,40;48,00;31,40
70;P63;Irrigation;I1;-24;;16/10/08;19/02/10;;;28/11/09;10/06/09;F;162,00;6960,00;128,80;32,50;0,75;1756,20;548,00;6440,00;125,30;30,60;0,76;1572,70;146,00;151,00;297,00;3800,00;101,20;41,40;0,59;1554,50;38683,00;19570,00;7937,98;1150,00;87,00;12,50;0,86;165,00;5060,00;62,00;20,30;0,67;1656,70;475,00;460,00;45,00;6,00;0,87;61,30;1825,00;12900,00;186,00;87,30;0,53;6054,70;146,00;58,10;40,00;29,20
71;P63;Irrigation;I1;-25;;29/10/08;27/02/10;;;;09/07/09;M;162,00;6960,00;128,80;32,50;0,75;1756,20;648,00;6720,00;144,50;34,40;0,76;1599,80;184,00;185,00;369,00;4500,00;121,50;45,20;0,63;1674,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;P63;Irrigation;I1;-26;;13/11/08;20/03/10;;;;09/07/09;M;162,00;7220,00;158,40;36,60;0,77;1668,30;654,00;6680,00;140,30;38,20;0,73;1818,80;188,00;192,00;380,00;3920,00;105,80;41,30;0,61;1530,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;P63;Irrigation;I1;-27;;26/11/08;10/04/10;;;;22/07/09;M;188,00;8440,00;157,10;34,60;0,78;1858,80;648,00;6580,00;129,90;32,60;0,75;1651,30;179,00;187,00;366,00;4400,00;154,50;58,70;0,62;1671,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;P63;Irrigation;I1;-28;dry;24/12/08;;28/08/10;;;05/08/09;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;P63;Irrigation;I1;-29;;07/01/09;26/06/10;;;19/02/10;16/09/09;F;178,00;7400,00;321,50;235,10;0,27;5411,30;643,00;6500,00;343,60;272,00;0,21;5145,50;185,00;179,00;364,00;4720,00;324,50;235,20;0,28;3421,10;38766,00;18160,00;9249,17;1180,00;104,00;21,80;0,79;247,00;4920,00;76,00;20,70;0,73;1340,10;590,00;680,00;34,00;4,10;0,88;82,00;1050,00;11380,00;165,00;109,90;0,33;7579,80;133,00;87,90;32,00;22,00
76;P63;Irrigation;I1;-30;;21/01/09;27/02/10;;;27/02/10;30/09/09;F;181,00;8420,00;180,50;39,40;0,78;1837,90;637,00;6840,00;180,40;44,50;0,75;1687,30;183,00;187,00;370,00;4700,00;130,40;51,10;0,61;1841,80;38774,00;20480,00;10780,67;1380,00;108,00;16,50;0,85;211,00;4800,00;97,00;30,70;0,68;1519,20;415,00;440,00;41,00;4,80;0,88;51,50;1045,00;13860,00;211,00;137,00;0,35;8999,10;171,00;111,60;40,00;25,40
77;P63;Irrigation;I1;-31;;04/02/09;;;;20/03/10;30/09/09;F;;;;;;;;;;;;;;;;;;;;;38795,00;17540,00;8530,06;1920,00;110,00;20,30;0,82;354,00;4640,00;115,00;43,60;0,62;1759,20;1015,00;1580,00;55,00;7,80;0,86;224,10;734,00;9400,00;245,00;161,40;0,34;6192,50;197,00;125,70;48,00;35,70
78;P63;Irrigation;I1;-32;dry;18/02/09;;16/10/10;;10/04/10;11/11/09;F;;;;;;;;;;;;;;;;;;;;;38816,00;18920,00;9370,71;1200,00;111,00;16,70;0,85;181,00;4020,00;79,00;28,40;0,64;1445,20;984,00;1400,00;45,00;6,30;0,86;196,00;903,00;12300,00;262,00;160,80;0,39;7549,00;216,00;126,40;46,00;34,40
79;P63;Irrigation;I1;-33;;04/03/09;23/10/10;;;;11/11/09;M;154,00;5680,00;216,00;85,00;0,61;2235,20;633,00;6500,00;215,70;95,00;0,56;2862,80;184,00;187,00;371,00;4300,00;204,00;109,50;0,46;2308,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;P63;Irrigation;I1;-34;dry;18/03/09;;18/09/10;;;09/12/09;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;P63;Irrigation;I1;-35;;01/04/09;07/05/11;;;;23/12/09;M;182,00;8000,00;186,50;53,00;0,72;2273,50;640,00;6750,00;224,40;84,10;0,63;2529,70;188,00;187,00;375,00;4250,00;172,20;81,40;0,53;2009,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;P63;Irrigation;I1;-36;;15/04/09;;01/04/11;;;06/01/10;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;P63;Irrigation;I1;-37;;29/04/09;;;;;17/02/10;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;P63;Irrigation;I1;-38;;27/05/09;30/10/10;;;;03/03/10;M;177,00;8300,00;251,30;127,70;0,49;4217,70;639,00;7040,00;247,40;174,80;0,29;4974,10;190,00;187,00;377,00;4480,00;223,50;166,70;0,25;3341,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;P63;Irrigation;I1;-39;;10/06/09;12/11/10;;;;17/03/10;M;172,00;7160,00;269,70;136,50;0,49;3623,80;649,00;6720,00;248,10;134,40;0,46;3640,30;193,00;189,00;382,00;4540,00;243,70;130,90;0,46;2438,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;P63;Irrigation;I1;-40;;24/06/09;;25/05/11;;;14/04/10;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;P63;Irrigation;I1;-41;;09/07/09;;01/07/11;;;28/04/10;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;P63;Irrigation;I1;-42;;05/08/09;04/01/11;;;16/11/10;12/05/10;F;187,00;6300,00;217,60;68,30;0,69;1977,40;672,00;7150,00;200,80;67,50;0,66;2403,50;192,00;188,00;380,00;5100,00;177,50;71,20;0,60;2045,70;39036,00;27330,00;16729,25;1680,00;200,00;75,20;0,62;632,00;4890,00;210,00;121,10;0,42;2819,90;815,00;960,00;43,00;12,00;0,72;267,90;1763,00;19800,00;170,00;111,70;0,34;13009,80;123,00;73,90;46,00;37,80
89;P63;Irrigation;I1;-43;;02/09/09;01/07/11;01/07/11;;30/10/10;26/05/10;F;173,00;7600,00;204,60;60,40;0,70;2243,60;660,00;7000,00;202,60;58,80;0,71;2031,60;191,00;186,00;377,00;4460,00;219,60;117,80;0,46;2392,50;39019,00;29610,00;16416,49;1640,00;215,00;127,70;0,41;974,00;6480,00;226,00;154,00;0,32;4415,60;810,00;900,00;37,00;29,60;0,20;720,00;1780,00;20590,00;174,00;87,10;0,50;10306,80;127,00;62,10;46,00;25,00
90;P63;Irrigation;I1;-44;;16/09/09;18/06/11;;;12/11/10;26/05/10;F;170,00;7400,00;249,60;66,60;0,73;1974,50;;;;;;;;;;;;;;;39032,00;30160,00;17988,02;1660,00;246,00;117,80;0,52;795,00;6200,00;215,00;110,90;0,48;3198,00;970,00;1100,00;40,00;14,60;0,64;401,50;1776,00;21200,00;199,00;127,60;0,36;13593,60;154,00;94,80;45,00;32,80
91;P63;Irrigation;I1;-45;;25/11/09;;01/04/11;14/04/10;;23/06/10;M;;;;;;;633,00;7340,00;108,50;25,80;0,76;1745,40;192,00;186,00;378,00;4520,00;176,40;65,90;0,63;1688,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;P63;Irrigation;I1;-46;;25/11/09;04/03/11;;;;07/07/10;M;146,00;6050,00;221,80;69,90;0,68;1906,70;667,00;7200,00;221,60;57,40;0,74;1865,00;182,00;180,00;362,00;5400,00;301,90;142,90;0,53;2556,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;P63;Irrigation;I1;-47;;25/11/09;05/03/11;;;;21/07/10;M;150,00;6400,00;159,30;62,80;0,61;2523,00;666,00;6850,00;233,50;106,20;0,55;3115,50;182,00;180,00;362,00;5500,00;205,30;88,20;0,57;2362,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;P63;Irrigation;I1;-48;;09/12/09;;01/04/11;;;04/08/10;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;P63;Irrigation;I1;-49;;23/12/09;18/06/11;;;;18/08/10;M;114,00;4000,00;247,40;63,90;0,74;1033,10;632,00;5700,00;198,10;55,10;0,72;1585,40;191,00;193,00;384,00;4350,00;224,70;86,80;0,61;1680,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;P63;Irrigation;I1;-50;;06/01/10;01/07/11;;;;01/09/10;M;156,00;6900,00;234,90;96,90;0,59;2846,40;624,00;5850,00;227,20;70,70;0,69;1820,40;190,00;189,00;379,00;4250,00;250,50;107,30;0,57;1820,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
